isin,code,exchange,type,country,currency,name,selection_reason
LU2823896811,ACE29,PA,ETF,France,EUR,BNP PARIBAS EASY - ESG Enhanced EUR Corp Bond December 2029 UCITS ETF CAPITALISATION,fallback_exchange
LU2872291278,FM26,PA,ETF,France,EUR,Amundi Fixed Maturity 2026 Euro Government Bond Broad UCITS ETF Acc,fallback_exchange
LU2872291435,FM27,PA,ETF,France,EUR,Amundi Fixed Maturity 2027 Euro Government Bond Broad UCITS ETF Acc,fallback_exchange
LU2872291781,FM29,PA,ETF,France,EUR,Amundi Fixed Maturity 2029 Euro Government Bond Broad UCITS ETF Acc,fallback_exchange
LU2872291948,LC30,PA,ETF,France,EUR,Amundi Index Solutions - Amundi Lifecycle 2030 UCITS ETF Acc EUR,fallback_exchange
LU2872292086,LC33,PA,ETF,France,EUR,Amundi Index Solutions - Amundi Lifecycle 2033 UCITS ETF Acc EUR,fallback_exchange
LU2872292169,LC36,PA,ETF,France,EUR,Amundi Index Solutions - Amundi Lifecycle 2036 UCITS ETF Acc EUR,fallback_exchange
LU2872292243,LC39,PA,ETF,France,EUR,Amundi Index Solutions - Amundi Lifecycle 2039 UCITS ETF Acc EUR,fallback_exchange
LU2903252349,SCWX,XETRA,ETF,Germany,EUR,Xtrackers Scalable MSCI AC World Xtrackers UCITS ETF 1C,preferred_xetra
LU2914558916,GREAD,PA,ETF,France,EUR,BNP Paribas Easy FTSE EPRA Nareit Developed Europe Green CTB UCITS ETF QD Dis,fallback_exchange
